team,team_id,player_id,player_name,position,known_name,first_name,last_name,shirtNumber,played_time,appearances,played_games,starts,sub_on,sub_off,offsides,dribbles_successful,dribbles_unsuccessful,keypasses,assists,assists_intentional,assists_second_goal,through_balls,goals_conceded,goals_conceded_penalty,goals_conceded_outside_box,goals_conceded_inside_box,goals,goals_from_inside_box,goals_from_outside_box,goals_right_foot,goals_left_foot,goals_headed,goals_penalty,penalty_taken,shots_total,shots_on_target_include_goals,shots_off_target_include_woodwork,shots_hit_woodwork,shots_blocked,shots_attempts_from_set_pieces,passes_total,passes_total_exc_crosses_and_corners_succesful,passes_total_exc_crosses_and_corners_unsuccesful,passes_open_play,passes_open_play_successful,passes_backward,passes_forward,passes_leftside,passes_rightside,passes_short_successful,passes_short_unsuccessful,passes_long_successful,passes_long_unsuccessful,passes_own_half_successful,passes_own_half_unsuccessful,passes_opposition_half_successful,passes_opposition_half_unsuccessful,crosses_open_play_successful,crosses_open_play_unsuccessful,crosses_and_corners_unsuccessful,crosses_and_corners_successful,corners_won,corners_taken_include_short_corners,corners_into_box_successful,corners_into_box_unsuccessful,duels_total,duels_won,duels_lost,duels_ground_total,duels_ground_won,duels_ground_lost,duels_aerial_total,duels_aerial_won,duels_aerial_lost,tackles_total,tackles_won,tackles_lost,tackles_last_man,clearances,interceptions,recoveries,blocks
Granada CF,5683,226541,Yangel Herrera,Midfielder,,Yangel,Herrera,21,2374,30,30,28,2,10,4,18,16,15,3,3,,3,28,2,8,20,2,1,1,2,,,,,25,4,21,,8,,916,689,227,910,684,85,374,244,213,644,183,45,44,302,60,389,174,2,7,7,2,3,,,,477,240,237,333,160,173,144,80,64,88,49,39,,25,34,180,9
Granada CF,5683,56161,Ismail Köybasi,Defender,,Ismail,Köybasi,11,231,4,4,3,1,1,,2,2,,,,,,3,,,3,,,,,,,,,1,,1,,,1,61,39,22,60,39,11,31,5,14,35,16,4,6,12,6,29,22,1,6,6,2,,,,,26,11,15,18,8,10,8,3,5,4,4,,,2,5,12,
Granada CF,5683,111133,Darwin Machís,Forward,,Darwin,Machís,23,2128,36,36,20,16,13,12,54,40,35,5,5,,,30,2,10,20,7,7,,2,4,1,1,1,53,28,25,2,19,2,435,315,120,415,298,100,123,35,177,299,109,16,11,67,25,278,206,11,75,111,30,27,50,17,23,300,141,159,237,119,118,63,22,41,23,13,10,,5,31,98,4
Granada CF,5683,231187,José Antonio Martínez,Defender,José Antonio Martínez,José Antonio,Martínez,5,1187,20,20,13,7,3,,5,,,1,,,,19,2,5,14,,,,,,,,,2,,2,,,,487,359,128,460,343,39,216,47,185,317,66,42,62,246,43,113,86,,1,1,,,,,,104,69,35,48,32,16,56,37,19,21,16,5,,44,18,66,4
Granada CF,5683,89217,Alejandro Martínez Sánchez,Defender,Álex Martínez,Alejandro,Martínez Sánchez,3,14,1,1,,1,,,,,,,,,,1,,,1,,,,,,,,,1,,1,1,,1,5,5,,4,4,1,1,,3,4,,1,,2,,3,4,,2,4,,,1,,1,,,,,,,,,,,,,,,,1,
Granada CF,5683,106671,Joaquín José Marín Ruiz,Defender,Quini,Joaquín José,Marín Ruiz,0,717,10,10,8,2,1,,6,11,7,,,,,12,2,3,9,,,,,,,,,5,,5,,5,,211,159,52,210,158,35,87,26,63,145,28,14,24,76,21,85,46,2,15,15,2,7,,,,85,45,40,69,37,32,16,8,8,25,14,11,2,11,10,39,1
Granada CF,5683,76597,Ángel Montoro,Midfielder,,Ángel,Montoro,19,972,15,15,11,4,3,1,6,3,16,5,4,1,1,12,2,2,10,2,2,,2,,,,,9,5,4,,5,1,535,432,103,484,394,56,198,133,148,370,61,62,42,178,19,270,117,3,10,33,16,6,30,12,10,91,46,45,82,43,39,9,3,6,19,8,11,,13,13,70,1
Granada CF,5683,472148,Carlos Neva,Defender,,Carlos,Neva,15,2211,26,26,25,1,6,,5,10,9,1,1,,,28,2,8,20,,,,,,,,,7,4,3,,1,,591,416,175,579,408,128,303,19,141,392,99,24,76,195,68,233,172,12,65,65,12,14,1,,,154,81,73,100,57,43,54,24,30,16,11,5,,40,28,85,2
Granada CF,5683,57254,Adrián Ramos,Forward,,Adrián,Ramos,20,222,7,7,2,5,1,3,,1,2,,,,,6,,2,4,,,,,,,,,4,1,3,,2,,77,50,27,74,47,19,29,18,11,49,27,1,,9,,41,30,,3,3,,2,,,,58,27,31,20,12,8,38,15,23,6,2,4,,1,1,9,
Granada CF,5683,156301,José Antonio Rodríguez Díaz,Midfielder,Antonio Puertas,José Antonio,Rodríguez Díaz,10,2564,36,36,27,9,8,5,48,42,16,3,3,,2,31,4,6,25,7,6,1,3,1,2,,,36,18,18,1,8,,674,485,189,667,478,184,179,189,122,467,169,18,20,173,41,322,187,9,38,39,10,16,1,1,,452,186,266,287,122,165,165,64,101,38,25,13,,19,11,121,3
